"query","intent","funnel_stage","segment","target_route","content_action","priority","cluster_evidence"
"home care tender writing","Transactional","Decision","home care","/care-settings/domiciliary-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"home care bid writing services","Transactional","Decision","home care","/care-settings/domiciliary-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"home care tenders uk","Commercial","Consideration","home care","/tenders/domiciliary-care","Expand live opportunity context","P0","Live-tender demand cluster"
"live home care tenders","Commercial","Consideration","home care","/tenders/domiciliary-care","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win home care tenders","Informational","Consideration","home care","/care-settings/domiciliary-care","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"live in care tender writing","Transactional","Decision","live in care","/care-settings/live-in-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"live in care bid writing services","Transactional","Decision","live in care","/care-settings/live-in-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"live in care tenders uk","Commercial","Consideration","live in care","/care-settings/live-in-care","Expand live opportunity context","P0","Live-tender demand cluster"
"live live in care tenders","Commercial","Consideration","live in care","/care-settings/live-in-care","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win live in care tenders","Informational","Consideration","live in care","/care-settings/live-in-care","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"reablement tender writing","Transactional","Decision","reablement","/care-settings/reablement-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"reablement bid writing services","Transactional","Decision","reablement","/care-settings/reablement-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"reablement tenders uk","Commercial","Consideration","reablement","/care-settings/reablement-services","Expand live opportunity context","P0","Live-tender demand cluster"
"live reablement tenders","Commercial","Consideration","reablement","/care-settings/reablement-services","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win reablement tenders","Informational","Consideration","reablement","/care-settings/reablement-services","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"hospital discharge tender writing","Transactional","Decision","hospital discharge","/care-settings/hospital-discharge-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"hospital discharge bid writing services","Transactional","Decision","hospital discharge","/care-settings/hospital-discharge-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"hospital discharge tenders uk","Commercial","Consideration","hospital discharge","/care-settings/hospital-discharge-services","Expand live opportunity context","P0","Live-tender demand cluster"
"live hospital discharge tenders","Commercial","Consideration","hospital discharge","/care-settings/hospital-discharge-services","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win hospital discharge tenders","Informational","Consideration","hospital discharge","/care-settings/hospital-discharge-services","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"supported living tender writing","Transactional","Decision","supported living","/care-settings/supported-living","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"supported living bid writing services","Transactional","Decision","supported living","/care-settings/supported-living","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"supported living tenders uk","Commercial","Consideration","supported living","/tenders/supported-living","Expand live opportunity context","P0","Live-tender demand cluster"
"live supported living tenders","Commercial","Consideration","supported living","/tenders/supported-living","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win supported living tenders","Informational","Consideration","supported living","/care-settings/supported-living","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"residential care tender writing","Transactional","Decision","residential care","/care-settings/residential-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"residential care bid writing services","Transactional","Decision","residential care","/care-settings/residential-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"residential care tenders uk","Commercial","Consideration","residential care","/tenders/residential-nursing-care","Expand live opportunity context","P0","Live-tender demand cluster"
"live residential care tenders","Commercial","Consideration","residential care","/tenders/residential-nursing-care","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win residential care tenders","Informational","Consideration","residential care","/care-settings/residential-care","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"nursing care tender writing","Transactional","Decision","nursing care","/care-settings/nursing-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"nursing care bid writing services","Transactional","Decision","nursing care","/care-settings/nursing-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"nursing care tenders uk","Commercial","Consideration","nursing care","/tenders/residential-nursing-care","Expand live opportunity context","P0","Live-tender demand cluster"
"live nursing care tenders","Commercial","Consideration","nursing care","/tenders/residential-nursing-care","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win nursing care tenders","Informational","Consideration","nursing care","/care-settings/nursing-care","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"nursing home tender writing","Transactional","Decision","nursing home","/care-settings/nursing-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"nursing home bid writing services","Transactional","Decision","nursing home","/care-settings/nursing-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"nursing home tenders uk","Commercial","Consideration","nursing home","/tenders/residential-nursing-care","Expand live opportunity context","P0","Live-tender demand cluster"
"live nursing home tenders","Commercial","Consideration","nursing home","/tenders/residential-nursing-care","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win nursing home tenders","Informational","Consideration","nursing home","/care-settings/nursing-care","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"extra care housing tender writing","Transactional","Decision","extra care housing","/care-settings/extra-care-housing","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"extra care housing bid writing services","Transactional","Decision","extra care housing","/care-settings/extra-care-housing","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"extra care housing tenders uk","Commercial","Consideration","extra care housing","/care-settings/extra-care-housing","Expand live opportunity context","P0","Live-tender demand cluster"
"live extra care housing tenders","Commercial","Consideration","extra care housing","/care-settings/extra-care-housing","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win extra care housing tenders","Informational","Consideration","extra care housing","/care-settings/extra-care-housing","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"supported accommodation tender writing","Transactional","Decision","supported accommodation","/care-settings/supported-accommodation","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"supported accommodation bid writing services","Transactional","Decision","supported accommodation","/care-settings/supported-accommodation","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"supported accommodation tenders uk","Commercial","Consideration","supported accommodation","/care-settings/supported-accommodation","Expand live opportunity context","P0","Live-tender demand cluster"
"live supported accommodation tenders","Commercial","Consideration","supported accommodation","/care-settings/supported-accommodation","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win supported accommodation tenders","Informational","Consideration","supported accommodation","/care-settings/supported-accommodation","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"supported housing tender writing","Transactional","Decision","supported housing","/care-settings/supported-housing","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"supported housing bid writing services","Transactional","Decision","supported housing","/care-settings/supported-housing","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"supported housing tenders uk","Commercial","Consideration","supported housing","/care-settings/supported-housing","Expand live opportunity context","P0","Live-tender demand cluster"
"live supported housing tenders","Commercial","Consideration","supported housing","/care-settings/supported-housing","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win supported housing tenders","Informational","Consideration","supported housing","/care-settings/supported-housing","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"housing related support tender writing","Transactional","Decision","housing related support","/care-settings/housing-related-support","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"housing related support bid writing services","Transactional","Decision","housing related support","/care-settings/housing-related-support","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"housing related support tenders uk","Commercial","Consideration","housing related support","/care-settings/housing-related-support","Expand live opportunity context","P0","Live-tender demand cluster"
"live housing related support tenders","Commercial","Consideration","housing related support","/care-settings/housing-related-support","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win housing related support tenders","Informational","Consideration","housing related support","/care-settings/housing-related-support","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"temporary accommodation tender writing","Transactional","Decision","temporary accommodation","/care-settings/temporary-accommodation","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"temporary accommodation bid writing services","Transactional","Decision","temporary accommodation","/care-settings/temporary-accommodation","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"temporary accommodation tenders uk","Commercial","Consideration","temporary accommodation","/care-settings/temporary-accommodation","Expand live opportunity context","P0","Live-tender demand cluster"
"live temporary accommodation tenders","Commercial","Consideration","temporary accommodation","/care-settings/temporary-accommodation","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win temporary accommodation tenders","Informational","Consideration","temporary accommodation","/care-settings/temporary-accommodation","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"emergency accommodation tender writing","Transactional","Decision","emergency accommodation","/care-settings/emergency-accommodation","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"emergency accommodation bid writing services","Transactional","Decision","emergency accommodation","/care-settings/emergency-accommodation","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"emergency accommodation tenders uk","Commercial","Consideration","emergency accommodation","/care-settings/emergency-accommodation","Expand live opportunity context","P0","Live-tender demand cluster"
"live emergency accommodation tenders","Commercial","Consideration","emergency accommodation","/care-settings/emergency-accommodation","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win emergency accommodation tenders","Informational","Consideration","emergency accommodation","/care-settings/emergency-accommodation","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"children's residential care tender writing","Transactional","Decision","children's residential care","/care-settings/childrens-residential-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"children's residential care bid writing services","Transactional","Decision","children's residential care","/care-settings/childrens-residential-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"children's residential care tenders uk","Commercial","Consideration","children's residential care","/tenders/children-young-people","Expand live opportunity context","P0","Live-tender demand cluster"
"live children's residential care tenders","Commercial","Consideration","children's residential care","/tenders/children-young-people","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win children's residential care tenders","Informational","Consideration","children's residential care","/care-settings/childrens-residential-care","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"children's services tender writing","Transactional","Decision","children's services","/care-settings/childrens-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"children's services bid writing services","Transactional","Decision","children's services","/care-settings/childrens-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"children's services tenders uk","Commercial","Consideration","children's services","/tenders/children-young-people","Expand live opportunity context","P0","Live-tender demand cluster"
"live children's services tenders","Commercial","Consideration","children's services","/tenders/children-young-people","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win children's services tenders","Informational","Consideration","children's services","/care-settings/childrens-services","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"children's short breaks tender writing","Transactional","Decision","children's short breaks","/care-settings/childrens-short-breaks","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"children's short breaks bid writing services","Transactional","Decision","children's short breaks","/care-settings/childrens-short-breaks","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"children's short breaks tenders uk","Commercial","Consideration","children's short breaks","/tenders/children-young-people","Expand live opportunity context","P0","Live-tender demand cluster"
"live children's short breaks tenders","Commercial","Consideration","children's short breaks","/tenders/children-young-people","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win children's short breaks tenders","Informational","Consideration","children's short breaks","/care-settings/childrens-short-breaks","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"fostering tender writing","Transactional","Decision","fostering","/care-settings/fostering-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"fostering bid writing services","Transactional","Decision","fostering","/care-settings/fostering-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"fostering tenders uk","Commercial","Consideration","fostering","/tenders/children-young-people","Expand live opportunity context","P0","Live-tender demand cluster"
"live fostering tenders","Commercial","Consideration","fostering","/tenders/children-young-people","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win fostering tenders","Informational","Consideration","fostering","/care-settings/fostering-services","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"leaving care tender writing","Transactional","Decision","leaving care","/care-settings/leaving-care-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"leaving care bid writing services","Transactional","Decision","leaving care","/care-settings/leaving-care-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"leaving care tenders uk","Commercial","Consideration","leaving care","/tenders/children-young-people","Expand live opportunity context","P0","Live-tender demand cluster"
"live leaving care tenders","Commercial","Consideration","leaving care","/tenders/children-young-people","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win leaving care tenders","Informational","Consideration","leaving care","/care-settings/leaving-care-services","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"family support tender writing","Transactional","Decision","family support","/care-settings/family-support-and-outreach","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"family support bid writing services","Transactional","Decision","family support","/care-settings/family-support-and-outreach","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"family support tenders uk","Commercial","Consideration","family support","/tenders/children-young-people","Expand live opportunity context","P0","Live-tender demand cluster"
"live family support tenders","Commercial","Consideration","family support","/tenders/children-young-people","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win family support tenders","Informational","Consideration","family support","/care-settings/family-support-and-outreach","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"mental health tender writing","Transactional","Decision","mental health","/care-settings/mental-health-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"mental health bid writing services","Transactional","Decision","mental health","/care-settings/mental-health-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"mental health tenders uk","Commercial","Consideration","mental health","/tenders/mental-health","Expand live opportunity context","P0","Live-tender demand cluster"
"live mental health tenders","Commercial","Consideration","mental health","/tenders/mental-health","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win mental health tenders","Informational","Consideration","mental health","/care-settings/mental-health-services","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"complex care tender writing","Transactional","Decision","complex care","/care-settings/complex-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"complex care bid writing services","Transactional","Decision","complex care","/care-settings/complex-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"complex care tenders uk","Commercial","Consideration","complex care","/tenders/complex-care-chc","Expand live opportunity context","P0","Live-tender demand cluster"
"live complex care tenders","Commercial","Consideration","complex care","/tenders/complex-care-chc","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win complex care tenders","Informational","Consideration","complex care","/care-settings/complex-care","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"continuing healthcare tender writing","Transactional","Decision","continuing healthcare","/care-settings/continuing-healthcare","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"continuing healthcare bid writing services","Transactional","Decision","continuing healthcare","/care-settings/continuing-healthcare","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"continuing healthcare tenders uk","Commercial","Consideration","continuing healthcare","/tenders/complex-care-chc","Expand live opportunity context","P0","Live-tender demand cluster"
"live continuing healthcare tenders","Commercial","Consideration","continuing healthcare","/tenders/complex-care-chc","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win continuing healthcare tenders","Informational","Consideration","continuing healthcare","/care-settings/continuing-healthcare","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"community health tender writing","Transactional","Decision","community health","/care-settings/community-health-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"community health bid writing services","Transactional","Decision","community health","/care-settings/community-health-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"community health tenders uk","Commercial","Consideration","community health","/tenders/complex-care-chc","Expand live opportunity context","P0","Live-tender demand cluster"
"live community health tenders","Commercial","Consideration","community health","/tenders/complex-care-chc","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win community health tenders","Informational","Consideration","community health","/care-settings/community-health-services","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"palliative care tender writing","Transactional","Decision","palliative care","/care-settings/end-of-life-and-palliative-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"palliative care bid writing services","Transactional","Decision","palliative care","/care-settings/end-of-life-and-palliative-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"palliative care tenders uk","Commercial","Consideration","palliative care","/care-settings/end-of-life-and-palliative-care","Expand live opportunity context","P0","Live-tender demand cluster"
"live palliative care tenders","Commercial","Consideration","palliative care","/care-settings/end-of-life-and-palliative-care","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win palliative care tenders","Informational","Consideration","palliative care","/care-settings/end-of-life-and-palliative-care","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"end of life care tender writing","Transactional","Decision","end of life care","/care-settings/end-of-life-and-palliative-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"end of life care bid writing services","Transactional","Decision","end of life care","/care-settings/end-of-life-and-palliative-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"end of life care tenders uk","Commercial","Consideration","end of life care","/care-settings/end-of-life-and-palliative-care","Expand live opportunity context","P0","Live-tender demand cluster"
"live end of life care tenders","Commercial","Consideration","end of life care","/care-settings/end-of-life-and-palliative-care","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win end of life care tenders","Informational","Consideration","end of life care","/care-settings/end-of-life-and-palliative-care","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"learning disability tender writing","Transactional","Decision","learning disability","/care-settings/learning-disability-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"learning disability bid writing services","Transactional","Decision","learning disability","/care-settings/learning-disability-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"learning disability tenders uk","Commercial","Consideration","learning disability","/care-settings/learning-disability-services","Expand live opportunity context","P0","Live-tender demand cluster"
"live learning disability tenders","Commercial","Consideration","learning disability","/care-settings/learning-disability-services","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win learning disability tenders","Informational","Consideration","learning disability","/care-settings/learning-disability-services","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"autism services tender writing","Transactional","Decision","autism services","/care-settings/autism-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"autism services bid writing services","Transactional","Decision","autism services","/care-settings/autism-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"autism services tenders uk","Commercial","Consideration","autism services","/care-settings/autism-services","Expand live opportunity context","P0","Live-tender demand cluster"
"live autism services tenders","Commercial","Consideration","autism services","/care-settings/autism-services","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win autism services tenders","Informational","Consideration","autism services","/care-settings/autism-services","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"substance misuse tender writing","Transactional","Decision","substance misuse","/care-settings/substance-misuse-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"substance misuse bid writing services","Transactional","Decision","substance misuse","/care-settings/substance-misuse-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"substance misuse tenders uk","Commercial","Consideration","substance misuse","/care-settings/substance-misuse-services","Expand live opportunity context","P0","Live-tender demand cluster"
"live substance misuse tenders","Commercial","Consideration","substance misuse","/care-settings/substance-misuse-services","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win substance misuse tenders","Informational","Consideration","substance misuse","/care-settings/substance-misuse-services","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"day services tender writing","Transactional","Decision","day services","/care-settings/day-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"day services bid writing services","Transactional","Decision","day services","/care-settings/day-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"day services tenders uk","Commercial","Consideration","day services","/care-settings/day-services","Expand live opportunity context","P0","Live-tender demand cluster"
"live day services tenders","Commercial","Consideration","day services","/care-settings/day-services","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win day services tenders","Informational","Consideration","day services","/care-settings/day-services","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"respite care tender writing","Transactional","Decision","respite care","/care-settings/short-breaks-and-respite","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"respite care bid writing services","Transactional","Decision","respite care","/care-settings/short-breaks-and-respite","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"respite care tenders uk","Commercial","Consideration","respite care","/care-settings/short-breaks-and-respite","Expand live opportunity context","P0","Live-tender demand cluster"
"live respite care tenders","Commercial","Consideration","respite care","/care-settings/short-breaks-and-respite","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win respite care tenders","Informational","Consideration","respite care","/care-settings/short-breaks-and-respite","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"shared lives tender writing","Transactional","Decision","shared lives","/care-settings/shared-lives","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"shared lives bid writing services","Transactional","Decision","shared lives","/care-settings/shared-lives","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"shared lives tenders uk","Commercial","Consideration","shared lives","/care-settings/shared-lives","Expand live opportunity context","P0","Live-tender demand cluster"
"live shared lives tenders","Commercial","Consideration","shared lives","/care-settings/shared-lives","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win shared lives tenders","Informational","Consideration","shared lives","/care-settings/shared-lives","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"rehabilitation services tender writing","Transactional","Decision","rehabilitation services","/care-settings/rehabilitation-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"rehabilitation services bid writing services","Transactional","Decision","rehabilitation services","/care-settings/rehabilitation-services","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"rehabilitation services tenders uk","Commercial","Consideration","rehabilitation services","/care-settings/rehabilitation-services","Expand live opportunity context","P0","Live-tender demand cluster"
"live rehabilitation services tenders","Commercial","Consideration","rehabilitation services","/care-settings/rehabilitation-services","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win rehabilitation services tenders","Informational","Consideration","rehabilitation services","/care-settings/rehabilitation-services","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
"outreach support tender writing","Transactional","Decision","outreach support","/care-settings/outreach-community-support","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"outreach support bid writing services","Transactional","Decision","outreach support","/care-settings/outreach-community-support","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"outreach support tenders uk","Commercial","Consideration","outreach support","/care-settings/outreach-community-support","Expand live opportunity context","P0","Live-tender demand cluster"
