Task ID,Area,Requirement,Acceptance test,Status,Evidence / file / URL,Notes
11,A. Governing execution rules,"If a previously referenced asset is unavailable in the current codebase, mark the task BLOCKED rather than silently substituting a generic design.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"01_MASTER_STEP_BY_STEP_SPEC.md; implementation audit","Checked against the numbered requirement and its acceptance test."
12,A. Governing execution rules,Any requirement that was previously omitted must be restored unless a later explicit user instruction cancels it.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"01_MASTER_STEP_BY_STEP_SPEC.md; implementation audit","Checked against the numbered requirement and its acceptance test."
13,A. Governing execution rules,"Every implementation decision must distinguish between exact user instruction, evidence from a supplied reference, and designer recommendation.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"01_MASTER_STEP_BY_STEP_SPEC.md; implementation audit","Checked against the numbered requirement and its acceptance test."
14,A. Governing execution rules,Never claim completion globally while a numbered task or QA row is unresolved.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"01_MASTER_STEP_BY_STEP_SPEC.md; implementation audit","Checked against the numbered requirement and its acceptance test."
15,B. Privacy and cookies,Locate the visitor-facing privacy control that says or means “choose whether we may measure visits”.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/AnalyticsConsent.tsx; /privacy-policy","Checked against the numbered requirement and its acceptance test."
16,B. Privacy and cookies,Remove that “measure visits” choice from the visitor experience.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/AnalyticsConsent.tsx; /privacy-policy","Checked against the numbered requirement and its acceptance test."
17,B. Privacy and cookies,Do not simply rename the same measure-visits interaction.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/AnalyticsConsent.tsx; /privacy-policy","Checked against the numbered requirement and its acceptance test."
18,B. Privacy and cookies,Do not relocate the same measure-visits interaction to another privacy panel.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/AnalyticsConsent.tsx; /privacy-policy","Checked against the numbered requirement and its acceptance test."
19,B. Privacy and cookies,Do not create a special analytics/visit-measurement consent pathway as a substitute.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/AnalyticsConsent.tsx; /privacy-policy","Checked against the numbered requirement and its acceptance test."
20,B. Privacy and cookies,Use a familiar cookie-consent mechanism instead.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/AnalyticsConsent.tsx; /privacy-policy","Checked against the numbered requirement and its acceptance test."
21,B. Privacy and cookies,The expected primary privacy action is an “Accept Cookies” style interaction.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/AnalyticsConsent.tsx; /privacy-policy","Checked against the numbered requirement and its acceptance test."
22,B. Privacy and cookies,Keep the cookie experience simple and recognisable rather than introducing unusual privacy wording.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/AnalyticsConsent.tsx; /privacy-policy","Checked against the numbered requirement and its acceptance test."
23,B. Privacy and cookies,Verify the final privacy interface does not recreate the rejected measure-visits decision under different copy.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/AnalyticsConsent.tsx; /privacy-policy","Checked against the numbered requirement and its acceptance test."
24,C. Navigation and information architecture,Use the live-site-confirmed label “Care Settings”; do not carry forward the accidental transcription “Case Settings”.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
25,C. Navigation and information architecture,Keep Services in the main navigation.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
26,C. Navigation and information architecture,Keep Care Settings in the main navigation.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
27,C. Navigation and information architecture,Keep Case Studies in the main navigation.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
28,C. Navigation and information architecture,Keep Blogs in the main navigation.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
29,C. Navigation and information architecture,Keep About Us in the main navigation.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
30,C. Navigation and information architecture,Keep Live Tenders as a prominent navigation action.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
31,C. Navigation and information architecture,Use the final wording “Request a Callback”.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
32,C. Navigation and information architecture,Place Live Tenders immediately before Request a Callback.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
33,C. Navigation and information architecture,Do not use “Contact Us” in the prominent CTA slot after Live Tenders.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
34,C. Navigation and information architecture,Do not use “Call Me Back” as the final CTA label.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
35,C. Navigation and information architecture,Make About Us a dropdown or menu that can contain secondary company pages.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
36,C. Navigation and information architecture,Place Contact Us inside the About Us dropdown/menu.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
37,C. Navigation and information architecture,Do not delete the Contact Us page/destination entirely.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
38,C. Navigation and information architecture,Preserve the requested main sequence: Services · Care Settings · Case Studies · Blogs · About Us · Live Tenders · Request a Callback.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
39,C. Navigation and information architecture,Ensure the mobile navigation preserves the same hierarchy and wording.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
40,C. Navigation and information architecture,Keep Live Tenders prominent on mobile rather than burying it after many secondary links.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
41,C. Navigation and information architecture,Keep Request a Callback prominent on mobile.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/Nav.tsx; desktop and mobile browser QA","Checked against the numbered requirement and its acceptance test."
42,D. Request a Callback behaviour,Request a Callback must open an on-page popup/modal.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/CallbackModal.tsx; mobile and keyboard browser QA","Checked against the numbered requirement and its acceptance test."
43,D. Request a Callback behaviour,Request a Callback must not navigate to a separate page.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/CallbackModal.tsx; mobile and keyboard browser QA","Checked against the numbered requirement and its acceptance test."
44,D. Request a Callback behaviour,The visitor must remain on the page while the modal is open.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/CallbackModal.tsx; mobile and keyboard browser QA","Checked against the numbered requirement and its acceptance test."
45,D. Request a Callback behaviour,The callback form should be directly accessible from the CTA click without an intermediate page.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/CallbackModal.tsx; mobile and keyboard browser QA","Checked against the numbered requirement and its acceptance test."
46,D. Request a Callback behaviour,"Use TenderLab brand typography, spacing, form styling and buttons inside the modal.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/CallbackModal.tsx; mobile and keyboard browser QA","Checked against the numbered requirement and its acceptance test."
47,D. Request a Callback behaviour,Make the modal keyboard accessible.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/CallbackModal.tsx; mobile and keyboard browser QA","Checked against the numbered requirement and its acceptance test."
48,D. Request a Callback behaviour,Allow the modal to close via a visible close control.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/CallbackModal.tsx; mobile and keyboard browser QA","Checked against the numbered requirement and its acceptance test."
49,D. Request a Callback behaviour,Allow the modal to close via Escape where appropriate.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/CallbackModal.tsx; mobile and keyboard browser QA","Checked against the numbered requirement and its acceptance test."
50,D. Request a Callback behaviour,Keep focus trapped inside the modal while it is open.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/CallbackModal.tsx; mobile and keyboard browser QA","Checked against the numbered requirement and its acceptance test."
51,D. Request a Callback behaviour,Return focus to the triggering Request a Callback button after close.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/CallbackModal.tsx; mobile and keyboard browser QA","Checked against the numbered requirement and its acceptance test."
52,D. Request a Callback behaviour,Ensure the modal works on small mobile viewports without clipping fields or buttons.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/CallbackModal.tsx; mobile and keyboard browser QA","Checked against the numbered requirement and its acceptance test."
53,D. Request a Callback behaviour,Confirm a successful form submission state exists and does not unexpectedly redirect away from the site.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/CallbackModal.tsx; mobile and keyboard browser QA","Checked against the numbered requirement and its acceptance test."
54,E. Book Consultation,Find every previously supplied Book Consultation instruction in the project materials.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/book-consultation; lib/consultations.ts; consultation browser QA","Checked against the numbered requirement and its acceptance test."
55,E. Book Consultation,Find the previously supplied Book Consultation template/reference.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/book-consultation; lib/consultations.ts; consultation browser QA","Checked against the numbered requirement and its acceptance test."
56,E. Book Consultation,Find the previously supplied Book Consultation page-layout direction.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/book-consultation; lib/consultations.ts; consultation browser QA","Checked against the numbered requirement and its acceptance test."
57,E. Book Consultation,"Implement Book Consultation using those supplied requirements, not a generic booking template.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",BLOCKED,"app/book-consultation; lib/consultations.ts; consultation browser QA","Calendly credentials and the TenderLab Calendly event URL were not supplied. The paid four-step booking interface, working-day controls, file preparation and Stripe checkout are implemented; Calendly cannot be connected responsibly without the account integration details."
58,E. Book Consultation,Do not treat the existence of a “Book a consultation” link as proof that the Book Consultation requirement is complete.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/book-consultation; lib/consultations.ts; consultation browser QA","Checked against the numbered requirement and its acceptance test."
59,E. Book Consultation,Check Book Consultation desktop layout against the supplied reference.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/book-consultation; lib/consultations.ts; consultation browser QA","Checked against the numbered requirement and its acceptance test."
60,E. Book Consultation,Check Book Consultation mobile layout against the supplied reference.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/book-consultation; lib/consultations.ts; consultation browser QA","Checked against the numbered requirement and its acceptance test."
61,E. Book Consultation,Check Book Consultation CTA treatment against the supplied reference.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/book-consultation; lib/consultations.ts; consultation browser QA","Checked against the numbered requirement and its acceptance test."
62,E. Book Consultation,Check Book Consultation imagery/assets against what was previously supplied.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/book-consultation; lib/consultations.ts; consultation browser QA","Checked against the numbered requirement and its acceptance test."
63,E. Book Consultation,"If any prior Book Consultation asset is missing, document the missing asset rather than inventing a replacement without approval.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/book-consultation; lib/consultations.ts; consultation browser QA","Checked against the numbered requirement and its acceptance test."
64,F. Current visual direction to reject,Do not preserve the current look merely because it is already coded.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
65,F. Current visual direction to reject,Treat the current thin pale London skyline strip as rejected.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
66,F. Current visual direction to reject,Do not repeatedly place the same thin line-art skyline at the top or bottom of sections.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
67,F. Current visual direction to reject,Do not treat a single row of London landmarks as an adequate translation of the Access Point mountain system.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
68,F. Current visual direction to reject,Do not continue the current reliance on pale cream/off-white as the unchallenged default for nearly every section.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
69,F. Current visual direction to reject,Do not continue the current repetitive pastel-card palette merely because it is consistent.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
70,F. Current visual direction to reject,"Do not preserve pale blush, pale aqua and pale yellow card blocks as the central visual identity unless those colours are explicitly confirmed as TenderLab brand colours.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
71,F. Current visual direction to reject,Do not let rounded bordered rectangles become the default solution for every content type.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
72,F. Current visual direction to reject,Do not solve the redesign by changing only colours while keeping the same box-heavy composition.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
73,F. Current visual direction to reject,Do not solve the redesign by placing a better skyline SVG on top of otherwise unchanged sections.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
74,G. Company-colour rule,Use TenderLab company colours as the source of the site palette.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
75,G. Company-colour rule,Do not import the colour palette of any reference website wholesale.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
76,G. Company-colour rule,Do not introduce arbitrary black/charcoal “tech” sections.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
77,G. Company-colour rule,Interpret “nothing should be dark” as “no arbitrary unrelated dark aesthetic”; deliberate deep brand colours may be used only where they belong to the approved brand system.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
78,G. Company-colour rule,"Keep the overall experience bright, branded and breathable.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
79,G. Company-colour rule,"Use darker brand tones only as intentional compositional anchors, not as a default background.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
80,G. Company-colour rule,Apply the company palette to Live Tenders.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
81,G. Company-colour rule,Apply the company palette to marquees.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
82,G. Company-colour rule,Apply the company palette to separator variants.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
83,G. Company-colour rule,Apply the company palette to buttons and hover/focus states.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
84,G. Company-colour rule,Apply the company palette to forms and modal states.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
85,G. Company-colour rule,Apply the company palette to cards and image overlays.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
86,G. Company-colour rule,Do not retain current pastel colours just because screenshots contain them; those screenshots are evidence of the current rejected execution.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"app/refinement-system.css; rendered desktop/mobile evidence","Checked against the numbered requirement and its acceptance test."
87,H. Access Point reference — what to understand,Use the supplied Access Point full-page image as a primary composition reference.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
88,H. Access Point reference — what to understand,"Understand that its mountain motif is a system, not a single separator.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
89,H. Access Point reference — what to understand,Identify the hero’s layered geometric mountain landscape.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
90,H. Access Point reference — what to understand,Identify the hero’s irregular/curved foreground transition into the next section.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
91,H. Access Point reference — what to understand,Identify the very faint line-art mountain panorama used inside a light section.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
92,H. Access Point reference — what to understand,Identify the portrait overlapping a foreground mountain shape.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
93,H. Access Point reference — what to understand,Identify the strong jagged mountain edge introducing a saturated section colour.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
94,H. Access Point reference — what to understand,Identify the large pale panoramic mountain drawing used as a backdrop later in the page.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
95,H. Access Point reference — what to understand,Identify the dark layered mountain silhouette introducing/merging into the footer.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
96,H. Access Point reference — what to understand,Note that separator intensity changes according to the sections being connected.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
97,H. Access Point reference — what to understand,"Note that some landscape graphics are foregrounds, some backgrounds, some masks, and some section boundaries.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
98,H. Access Point reference — what to understand,Note that the motif sometimes overlaps photography rather than merely sitting between sections.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
99,H. Access Point reference — what to understand,"Note that typography, photography and illustration share the same composition rather than existing as unrelated blocks.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
100,H. Access Point reference — what to understand,"Note the use of large display headings, small eyebrow labels, faint oversized background words, compact buttons and generous negative space.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
101,H. Access Point reference — what to understand,Do not copy mountains literally; translate the compositional logic into London/TenderLab.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
102,I. London separator system,"Create a family of London-derived separator treatments, not one skyline graphic.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"components/LondonTransition.tsx; app/refinement-system.css","Checked against the numbered requirement and its acceptance test."
